"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 09 12:35:24 GMT 2022","Fri Sep 09 12:35:25 GMT 2022","636","","Интеграционные тесты ReqRes:","","Интеграционные тесты ReqRes:","Создание и удаление пользователя","Создание и удаление пользователя",""
"passed","Fri Sep 09 12:35:26 GMT 2022","Fri Sep 09 12:35:26 GMT 2022","12","","Интеграционные тесты ReqRes:","","Интеграционные тесты ReqRes:","Ответ с заглушкой от мок сервера","Ответ с заглушкой от мок сервера",""
"passed","Fri Sep 09 12:35:25 GMT 2022","Fri Sep 09 12:35:26 GMT 2022","555","","Интеграционные тесты ReqRes:","","Интеграционные тесты ReqRes:","Регистрация и логин","Регистрация и логин",""
"passed","Fri Sep 09 12:35:26 GMT 2022","Fri Sep 09 12:35:26 GMT 2022","288","","Интеграционные тесты ReqRes:","","Интеграционные тесты ReqRes:","Попытка входа без пароля","Попытка входа без пароля",""
