"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 10 19:54:14 GMT 2022","Mon Oct 10 19:54:15 GMT 2022","484","","Интеграционные тесты ReqRes:","","Интеграционные тесты ReqRes:","Регистрация и логин","Регистрация и логин",""
"passed","Mon Oct 10 19:54:13 GMT 2022","Mon Oct 10 19:54:14 GMT 2022","356","","Контрактные тесты ReqRes:","","Контрактные тесты ReqRes:","Проверка схемы ответа регистрации пользователя","Проверка схемы ответа регистрации пользователя",""
"passed","Mon Oct 10 19:54:15 GMT 2022","Mon Oct 10 19:54:15 GMT 2022","270","","Интеграционные тесты ReqRes:","","Интеграционные тесты ReqRes:","Попытка входа без пароля","Попытка входа без пароля",""
"passed","Mon Oct 10 19:54:15 GMT 2022","Mon Oct 10 19:54:15 GMT 2022","17","","Интеграционные тесты ReqRes:","","Интеграционные тесты ReqRes:","Ответ с заглушкой от мок сервера","Ответ с заглушкой от мок сервера",""
"passed","Mon Oct 10 19:54:14 GMT 2022","Mon Oct 10 19:54:14 GMT 2022","534","","Интеграционные тесты ReqRes:","","Интеграционные тесты ReqRes:","Создание и удаление пользователя","Создание и удаление пользователя",""
