"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 27 20:19:43 GMT 2023","Mon Feb 27 20:19:44 GMT 2023","729","","Интеграционные тесты ReqRes:","","Интеграционные тесты ReqRes:","Регистрация и логин","Регистрация и логин",""
"passed","Mon Feb 27 20:19:44 GMT 2023","Mon Feb 27 20:19:44 GMT 2023","14","","Интеграционные тесты ReqRes:","","Интеграционные тесты ReqRes:","Ответ с заглушкой от мок сервера","Ответ с заглушкой от мок сервера",""
"passed","Mon Feb 27 20:19:44 GMT 2023","Mon Feb 27 20:19:44 GMT 2023","401","","Интеграционные тесты ReqRes:","","Интеграционные тесты ReqRes:","Попытка входа без пароля","Попытка входа без пароля",""
"passed","Mon Feb 27 20:19:43 GMT 2023","Mon Feb 27 20:19:43 GMT 2023","782","","Интеграционные тесты ReqRes:","","Интеграционные тесты ReqRes:","Создание и удаление пользователя","Создание и удаление пользователя",""
"passed","Mon Feb 27 20:19:42 GMT 2023","Mon Feb 27 20:19:42 GMT 2023","554","","Контрактные тесты ReqRes:","","Контрактные тесты ReqRes:","Проверка схемы ответа регистрации пользователя","Проверка схемы ответа регистрации пользователя",""
