"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 05 19:09:40 GMT 2022","Mon Dec 05 19:09:40 GMT 2022","18","","Интеграционные тесты ReqRes:","","Интеграционные тесты ReqRes:","Ответ с заглушкой от мок сервера","Ответ с заглушкой от мок сервера",""
"passed","Mon Dec 05 19:09:39 GMT 2022","Mon Dec 05 19:09:39 GMT 2022","959","","Интеграционные тесты ReqRes:","","Интеграционные тесты ReqRes:","Регистрация и логин","Регистрация и логин",""
"passed","Mon Dec 05 19:09:37 GMT 2022","Mon Dec 05 19:09:38 GMT 2022","610","","Контрактные тесты ReqRes:","","Контрактные тесты ReqRes:","Проверка схемы ответа регистрации пользователя","Проверка схемы ответа регистрации пользователя",""
"passed","Mon Dec 05 19:09:38 GMT 2022","Mon Dec 05 19:09:39 GMT 2022","931","","Интеграционные тесты ReqRes:","","Интеграционные тесты ReqRes:","Создание и удаление пользователя","Создание и удаление пользователя",""
"passed","Mon Dec 05 19:09:39 GMT 2022","Mon Dec 05 19:09:40 GMT 2022","490","","Интеграционные тесты ReqRes:","","Интеграционные тесты ReqRes:","Попытка входа без пароля","Попытка входа без пароля",""
